GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
SFXN1,94081,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.68,,21296072
SFXN4,119559,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.88,,21296072
SGK1,6446,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.22,,21296072
SGMS2,166929,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.72,,21296072
SH2B3,10019,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.76,,21296072
SH2D4A,63898,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.84,,21296072
SH3BGR,6450,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.93,,21296072
SH3BGRL,6451,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.74,,21296072
SH3BP4,23677,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.84,,21296072
SH3BP5,9467,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.66,,21296072
SH3GLB1,51100,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.79,,21296072
SH3GLB2,56904,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.99,,21296072
SH3RF1,57630,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.83,,21296072
SH3TC1,54436,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.94,,21296072
SHANK2,22941,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.62,,21296072
SHANK3,85358,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.78,,21296072
SHBG,6462,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.48,,21296072
SHC1,6464,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.56,,21296072
SHCBP1,79801,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.63,,21296072
SHFL,55337,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.12,,21296072
SHKBP1,92799,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.11,,21296072
SHMT2,6472,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.56,,21296072
SHOX2,6474,Pulmonary edema of mountaineers,MESH:C535833,,Acetazolamide,5.44,,32226695
SHPK,23729,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.01,,21296072
