GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
ACAA2,10449,Altitude Sickness,MESH:D000532,,Dexamethasone,3.11,,10915127
ACACA,31,Altitude Sickness,MESH:D000532,,Dexamethasone,2.72,,10915127
ACACB,32,Altitude Sickness,MESH:D000532,,Dexamethasone,3.11,,10915127
ACAD11,84129,Altitude Sickness,MESH:D000532,,Dexamethasone,3.42,,10915127
ACAD8,27034,Altitude Sickness,MESH:D000532,,Dexamethasone,3.64,,10915127
ACAD9,28976,Altitude Sickness,MESH:D000532,,Dexamethasone,3.36,,10915127
ACADL,33,Altitude Sickness,MESH:D000532,,Dexamethasone,3.23,,10915127
ACADM,34,Altitude Sickness,MESH:D000532,,Dexamethasone,3.04,,10915127
ACADVL,37,Altitude Sickness,MESH:D000532,,Dexamethasone,3.23,,10915127
ACAN,176,Altitude Sickness,MESH:D000532,,Dexamethasone,3.43,,10915127
ACAP1,9744,Altitude Sickness,MESH:D000532,,Dexamethasone,3.66,,10915127
ACAP3A,322991,Altitude Sickness,MESH:D000532,,Dexamethasone,4.78,,10915127
ACAP3B,100009646,Altitude Sickness,MESH:D000532,,Dexamethasone,5.41,,10915127
ACAT1,38,Altitude Sickness,MESH:D000532,,Dexamethasone,8.96,,10915127
ACAT1,38,Altitude Sickness,MESH:D000532,,Nitroglycerin,8.96,,18800963
ACAT2,39,Altitude Sickness,MESH:D000532,,Dexamethasone,3.08,,10915127
ACBD5,91452,Altitude Sickness,MESH:D000532,,Dexamethasone,3.53,,10915127
ACBD7,414149,Altitude Sickness,MESH:D000532,,Dexamethasone,3.73,,10915127
ACCSL,390110,Altitude Sickness,MESH:D000532,,Dexamethasone,4.37,,10915127
ACE,1636,Altitude Sickness,MESH:D000532,,Dexamethasone,2.87,,10915127
ACE2,59272,Altitude Sickness,MESH:D000532,,Dexamethasone,3.01,,10915127
ACHE,43,Altitude Sickness,MESH:D000532,,Dexamethasone,6.57,,10915127
ACHE,43,Altitude Sickness,MESH:D000532,,Pentoxifylline,6.57,,3308412
ACIN1,22985,Altitude Sickness,MESH:D000532,,Dexamethasone,3.46,,10915127
ACKR3,57007,Altitude Sickness,MESH:D000532,,Dexamethasone,3.26,,10915127
ACLY,47,Altitude Sickness,MESH:D000532,,Dexamethasone,2.97,,10915127
ACO1,48,Altitude Sickness,MESH:D000532,,Dexamethasone,3.12,,10915127
ACO2,50,Altitude Sickness,MESH:D000532,,Dexamethasone,3.16,,10915127
ACOT1,641371,Altitude Sickness,MESH:D000532,,Dexamethasone,3.12,,10915127
ACOT11,26027,Altitude Sickness,MESH:D000532,,Dexamethasone,3.64,,10915127
ACOT7,11332,Altitude Sickness,MESH:D000532,,Dexamethasone,3.37,,10915127
ACOX1,51,Altitude Sickness,MESH:D000532,,Dexamethasone,2.85,,10915127
ACOX2,8309,Altitude Sickness,MESH:D000532,,Dexamethasone,3.33,,10915127
ACP2,53,Altitude Sickness,MESH:D000532,,Dexamethasone,3.46,,10915127
ACP4,93650,Altitude Sickness,MESH:D000532,,Dexamethasone,4.24,,10915127
ACP5,54,Altitude Sickness,MESH:D000532,,Dexamethasone,3.13,,10915127
ACP5A,406801,Altitude Sickness,MESH:D000532,,Dexamethasone,4.4,,10915127
ACSF2,80221,Altitude Sickness,MESH:D000532,,Dexamethasone,3.33,,10915127
ACSL1,2180,Altitude Sickness,MESH:D000532,,Dexamethasone,2.93,,10915127
ACSL3,2181,Altitude Sickness,MESH:D000532,,Dexamethasone,3.2,,10915127
ACSL4,2182,Altitude Sickness,MESH:D000532,,Dexamethasone,3.02,,10915127
ACSL4A,393622,Altitude Sickness,MESH:D000532,,Dexamethasone,4.51,,10915127
ACSL5,51703,Altitude Sickness,MESH:D000532,,Dexamethasone,3.21,,10915127
ACSM3,6296,Altitude Sickness,MESH:D000532,,Dexamethasone,3.29,,10915127
ACSS1,84532,Altitude Sickness,MESH:D000532,,Dexamethasone,3.38,,10915127
ACSS2,55902,Altitude Sickness,MESH:D000532,,Dexamethasone,3.18,,10915127
ACTA1,58,Altitude Sickness,MESH:D000532,,Dexamethasone,3.12,,10915127
ACTA2,59,Altitude Sickness,MESH:D000532,,Dexamethasone,6.89,,10915127
ACTA2,59,Altitude Sickness,MESH:D000532,,Pentoxifylline,6.89,,3308412
ACTB,60,Altitude Sickness,MESH:D000532,,Dexamethasone,8.14,,10915127
ACTB,60,Altitude Sickness,MESH:D000532,,Nitroglycerin,8.14,,18800963
ACTC1,70,Altitude Sickness,MESH:D000532,,Dexamethasone,3.34,,10915127
ACTG1P20,644961,Altitude Sickness,MESH:D000532,,Dexamethasone,5.41,,10915127
ACTG2,72,Altitude Sickness,MESH:D000532,,Dexamethasone,3.31,,10915127
ACTN1,87,Altitude Sickness,MESH:D000532,,Dexamethasone,3.15,,10915127
ACTN2,88,Altitude Sickness,MESH:D000532,,Dexamethasone,3.44,,10915127
ACTR1A,10121,Altitude Sickness,MESH:D000532,,Dexamethasone,3.63,,10915127
ACTR2,10097,Altitude Sickness,MESH:D000532,,Dexamethasone,3.5,,10915127
ACTR2A,406820,Altitude Sickness,MESH:D000532,,Dexamethasone,4.86,,10915127
ACTR3,10096,Altitude Sickness,MESH:D000532,,Dexamethasone,3.37,,10915127
ACTR6,64431,Altitude Sickness,MESH:D000532,,Dexamethasone,3.67,,10915127
