Disease Name,Gene Symbol,Gene ID
Deep Vein Thrombosis ,SERPINE1,5054
Deep Vein Thrombosis ,SERPING1,710
Deep Vein Thrombosis ,SF3B1,23451
Deep Vein Thrombosis ,SGK1,6446
Deep Vein Thrombosis ,SHBG,6462
Deep Vein Thrombosis ,SHE,126669
Deep Vein Thrombosis ,SI,6476
Deep Vein Thrombosis ,SIRT1,23411
Deep Vein Thrombosis ,SLC34A1,6569
Deep Vein Thrombosis ,SLC44A2,57153
Deep Vein Thrombosis ,SLC4A1,6521
Deep Vein Thrombosis ,SLC7A11,23657
Deep Vein Thrombosis ,SNHG12,85028
Deep Vein Thrombosis ,SP1,6667
Deep Vein Thrombosis ,SPI1,6688
Deep Vein Thrombosis ,SPRED1,161742
Deep Vein Thrombosis ,SRC,6714
Deep Vein Thrombosis ,SRD5A1P1,6719
Deep Vein Thrombosis ,SRF,6722
Deep Vein Thrombosis ,ST8SIA4,7903
Deep Vein Thrombosis ,STAB2,55576
Deep Vein Thrombosis ,STAT1,6772
Deep Vein Thrombosis ,STAT3,6774
Deep Vein Thrombosis ,SYK,6850
Deep Vein Thrombosis ,SYNPO2,171024
Deep Vein Thrombosis ,SYT14,255928
Deep Vein Thrombosis ,TEK,7010
Deep Vein Thrombosis ,TET2,54790
Deep Vein Thrombosis ,TF,7018
Deep Vein Thrombosis ,TFPI,7035
Deep Vein Thrombosis ,TFRC,7037
Deep Vein Thrombosis ,TG,7038
Deep Vein Thrombosis ,THBD,7056
Deep Vein Thrombosis ,THBS1,7057
Deep Vein Thrombosis ,TLR4,7099
Deep Vein Thrombosis ,TLR9,54106
Deep Vein Thrombosis ,TNF,7124
Deep Vein Thrombosis ,TNFRSF1A,7132
Deep Vein Thrombosis ,TNS1,7145
Deep Vein Thrombosis ,TRIM51,84767
Deep Vein Thrombosis ,TSPAN15,23555
Deep Vein Thrombosis ,TTR,7276
Deep Vein Thrombosis ,TUG1,55000
Deep Vein Thrombosis ,UBA1,7317
Deep Vein Thrombosis ,UGT1A1,54658
Deep Vein Thrombosis ,USF1,7391
Deep Vein Thrombosis ,UXT-AS1,100133957
Deep Vein Thrombosis ,VASP,7408
Deep Vein Thrombosis ,VCAM1,7412
Deep Vein Thrombosis ,VDR,7421
Deep Vein Thrombosis ,VEGFA,7422
Deep Vein Thrombosis ,VIP,7432
Deep Vein Thrombosis ,VKORC1,79001
Deep Vein Thrombosis ,VWF,7450
Deep Vein Thrombosis ,XPO5,57510
Deep Vein Thrombosis ,XRCC1,7515
Deep Vein Thrombosis ,YPEL4,219539
Deep Vein Thrombosis ,YTHDF3,253943
Deep Vein Thrombosis ,ZDHHC5,25921
Deep Vein Thrombosis ,ZNF114,163071
Deep Vein Thrombosis ,ZNF263,10127
