Disease Name,Gene Symbol,Gene ID
High Altitude Hypoxia,NGFR,4804
High Altitude Hypoxia,NKAIN2,154215
High Altitude Hypoxia,NLRP3,114548
High Altitude Hypoxia,NME4,4833
High Altitude Hypoxia,NOS2,4843
High Altitude Hypoxia,NOS3,4846
High Altitude Hypoxia,NOXA1,10811
High Altitude Hypoxia,NPR1,4881
High Altitude Hypoxia,NPY,4852
High Altitude Hypoxia,NRF1,4899
High Altitude Hypoxia,NT5C2,22978
High Altitude Hypoxia,NT5E,4907
High Altitude Hypoxia,NTS,4922
High Altitude Hypoxia,ODC1,4953
High Altitude Hypoxia,OGG1,4968
High Altitude Hypoxia,OPA1,4976
High Altitude Hypoxia,PAH,5053
High Altitude Hypoxia,PARG,8505
High Altitude Hypoxia,PAX3,5077
High Altitude Hypoxia,PAX7,5081
High Altitude Hypoxia,PC,5091
High Altitude Hypoxia,PCDH12,51294
High Altitude Hypoxia,PCNA,5111
High Altitude Hypoxia,PDCD11,22984
High Altitude Hypoxia,PDGFA,5154
High Altitude Hypoxia,PDGFD,80310
High Altitude Hypoxia,PDK4,5166
High Altitude Hypoxia,PF4,5196
High Altitude Hypoxia,PF4V1,5197
High Altitude Hypoxia,PGAM2,5224
High Altitude Hypoxia,PGK1,5230
High Altitude Hypoxia,PGP,283871
High Altitude Hypoxia,PGR,5241
High Altitude Hypoxia,PHACTR1,221692
High Altitude Hypoxia,PIAS4,51588
High Altitude Hypoxia,PIK3CA,5290
High Altitude Hypoxia,PIK3R1,5295
High Altitude Hypoxia,PITRM1,10531
High Altitude Hypoxia,PKM,5315
High Altitude Hypoxia,PLA2G2E,30814
High Altitude Hypoxia,PLCB1,23236
High Altitude Hypoxia,PLIN2,123
High Altitude Hypoxia,PLTP,5360
High Altitude Hypoxia,PLXNA4,91584
High Altitude Hypoxia,PNP,4860
High Altitude Hypoxia,PNPLA7,375775
High Altitude Hypoxia,POLL,27343
High Altitude Hypoxia,POLR2K,5440
High Altitude Hypoxia,PON2,5445
High Altitude Hypoxia,PPARA,5465
High Altitude Hypoxia,PPARG,5468
High Altitude Hypoxia,PPIA,5478
High Altitude Hypoxia,PPM1B,5495
High Altitude Hypoxia,PPP1R15B,84919
High Altitude Hypoxia,PPP1R3C,5507
High Altitude Hypoxia,PPP3R1,5534
High Altitude Hypoxia,PRDM1,639
High Altitude Hypoxia,PRKAA1,5562
High Altitude Hypoxia,PRKAG2,51422
High Altitude Hypoxia,PRKG1,5592
High Altitude Hypoxia,PRL,5617
High Altitude Hypoxia,PRMT1,3276
High Altitude Hypoxia,PRMT5,10419
High Altitude Hypoxia,PROC,5624
High Altitude Hypoxia,PRPF8,10594
High Altitude Hypoxia,PSMA4,5685
High Altitude Hypoxia,PSMB4,5692
High Altitude Hypoxia,PSMC4,5704
High Altitude Hypoxia,PSMD13,5719
High Altitude Hypoxia,PTEN,5728
High Altitude Hypoxia,PTGS1,5742
High Altitude Hypoxia,PTGS2,5743
High Altitude Hypoxia,PTPN1,5770
High Altitude Hypoxia,PVR,5817
High Altitude Hypoxia,RAMP1,10267
High Altitude Hypoxia,RAMP2,10266
High Altitude Hypoxia,RAMP3,10268
High Altitude Hypoxia,RASA1,5921
High Altitude Hypoxia,RASGRF2,5924
High Altitude Hypoxia,REN,5972
High Altitude Hypoxia,RGS1,5996
High Altitude Hypoxia,RGS2,5997
High Altitude Hypoxia,RHEBL1,121268
High Altitude Hypoxia,RHO,6010
High Altitude Hypoxia,RHOA,387
High Altitude Hypoxia,ROCK2,9475
High Altitude Hypoxia,RPE,6120
High Altitude Hypoxia,RPL11,6135
High Altitude Hypoxia,RPL30,6156
High Altitude Hypoxia,RPL4,6124
High Altitude Hypoxia,RPS15,6209
High Altitude Hypoxia,RPS23,6228
High Altitude Hypoxia,RPS9,6203
High Altitude Hypoxia,RTN4,57142
High Altitude Hypoxia,RUNX2,860
High Altitude Hypoxia,RXFP2,122042
High Altitude Hypoxia,RYR2,6262
High Altitude Hypoxia,SART1,9092
High Altitude Hypoxia,SDHB,6390
High Altitude Hypoxia,SDHC,6391
High Altitude Hypoxia,SDHD,6392
High Altitude Hypoxia,SELP,6403
High Altitude Hypoxia,SEMA4G,57715
High Altitude Hypoxia,SENP1,29843
High Altitude Hypoxia,SERPINA1,5265
High Altitude Hypoxia,SFI1,9814
High Altitude Hypoxia,SFTPD,6441
High Altitude Hypoxia,SGCD,6444
High Altitude Hypoxia,SGK1,6446
High Altitude Hypoxia,SH2B1,25970
High Altitude Hypoxia,SH2B3,10019
High Altitude Hypoxia,SHH,6469
High Altitude Hypoxia,SI,6476
High Altitude Hypoxia,SIGLEC8,27181
High Altitude Hypoxia,SIRT1,23411
High Altitude Hypoxia,SLC10A1,6554
High Altitude Hypoxia,SLC16A2,6567
High Altitude Hypoxia,SLC16A3,9123
High Altitude Hypoxia,SLC22A17,51310
High Altitude Hypoxia,SLC22A2,6582
High Altitude Hypoxia,SLC22A7,10864
High Altitude Hypoxia,SLC22A8,9376
High Altitude Hypoxia,SLC22A9,114571
High Altitude Hypoxia,SLC24A5,283652
High Altitude Hypoxia,SLC25A51,92014
High Altitude Hypoxia,SLC28A1,9154
High Altitude Hypoxia,SLC29A1,2030
High Altitude Hypoxia,SLC29A2,3177
High Altitude Hypoxia,SLC2A1,6513
High Altitude Hypoxia,SLC2A3,6515
High Altitude Hypoxia,SLC30A7,148867
High Altitude Hypoxia,SLC39A2,29986
High Altitude Hypoxia,SLC3A2,6520
High Altitude Hypoxia,SLC40A1,30061
High Altitude Hypoxia,SLC5A4,6527
High Altitude Hypoxia,SLC7A1,6541
High Altitude Hypoxia,SLC7A11,23657
High Altitude Hypoxia,SLC7A4,6545
High Altitude Hypoxia,SLC7A9,11136
High Altitude Hypoxia,SLC8A2,6543
High Altitude Hypoxia,SMAD7,4092
High Altitude Hypoxia,SOCS2,8835
High Altitude Hypoxia,SOCS3,9021
High Altitude Hypoxia,SOD1,6647
High Altitude Hypoxia,SOD2,6648
High Altitude Hypoxia,SP1,6667
High Altitude Hypoxia,SP100,6672
High Altitude Hypoxia,SP3,6670
High Altitude Hypoxia,SPATA9,83890
High Altitude Hypoxia,SPR,6697
High Altitude Hypoxia,SQLE,6713
High Altitude Hypoxia,SRD5A1,6715
High Altitude Hypoxia,SREBF1,6720
High Altitude Hypoxia,STAT3,6774
High Altitude Hypoxia,STIM1,6786
High Altitude Hypoxia,TAGLN2,8407
High Altitude Hypoxia,TBC1D1,23216
High Altitude Hypoxia,TBP,6908
High Altitude Hypoxia,TBX5,6910
High Altitude Hypoxia,TCF7L1,83439
High Altitude Hypoxia,TEKT1,83659
High Altitude Hypoxia,TF,7018
High Altitude Hypoxia,TFAM,7019
High Altitude Hypoxia,TFRC,7037
High Altitude Hypoxia,TG,7038
High Altitude Hypoxia,TGFA,7039
High Altitude Hypoxia,TGFB1,7040
High Altitude Hypoxia,TGFB3,7043
High Altitude Hypoxia,TH,7054
High Altitude Hypoxia,THBS1,7057
High Altitude Hypoxia,TIMP1,7076
High Altitude Hypoxia,TIMP3,7078
High Altitude Hypoxia,TLL1,7092
High Altitude Hypoxia,TLR4,7099
High Altitude Hypoxia,TNF,7124
High Altitude Hypoxia,TNKS,8658
High Altitude Hypoxia,TNNI3K,51086
High Altitude Hypoxia,TOMM5,401505
High Altitude Hypoxia,TP53,7157
High Altitude Hypoxia,TRAP1,10131
High Altitude Hypoxia,TRHR,7201
High Altitude Hypoxia,TRIM21,6737
High Altitude Hypoxia,TTR,7276
High Altitude Hypoxia,TXNIP,10628
High Altitude Hypoxia,UBB,7314
High Altitude Hypoxia,UCP2,7351
High Altitude Hypoxia,UCP3,7352
High Altitude Hypoxia,UGT1A1,54658
High Altitude Hypoxia,USF1,7391
High Altitude Hypoxia,USF2,7392
High Altitude Hypoxia,UTRN,7402
High Altitude Hypoxia,UXT,8409
High Altitude Hypoxia,VBP1,7411
High Altitude Hypoxia,VEGFA,7422
High Altitude Hypoxia,VEGFB,7423
High Altitude Hypoxia,VSIG4,11326
High Altitude Hypoxia,WNT7B,7477
High Altitude Hypoxia,WTAP,9589
High Altitude Hypoxia,XBP1,7494
High Altitude Hypoxia,XDH,7498
High Altitude Hypoxia,YWHAZ,7534
High Altitude Hypoxia,ZFP36,7538
